GEOID,total_pop__estimate,median_age__estimate,pct_white_nh__estimate,pct_black_nh__estimate,pct_asian_nh__estimate,pct_hispanic__estimate,pct_other_nh__estimate,pct_under18__estimate,pct_65plus__estimate,pct_foreign_born__estimate,median_hh_income__estimate,pct_poverty__estimate,pct_bachelors_plus__estimate,pct_unemployed__estimate,pct_snap__estimate,pct_transit_commute__estimate,median_gross_rent__estimate,median_home_value__estimate,pct_renter__estimate,pct_rent_burdened__estimate,pct_no_vehicle__estimate,pct_vacant__estimate,pop_density__estimate,total_pop__moe,median_age__moe,pct_white_nh__moe,pct_black_nh__moe,pct_asian_nh__moe,pct_hispanic__moe,pct_other_nh__moe,pct_under18__moe,pct_65plus__moe,pct_foreign_born__moe,median_hh_income__moe,pct_poverty__moe,pct_bachelors_plus__moe,pct_unemployed__moe,pct_snap__moe,pct_transit_commute__moe,median_gross_rent__moe,median_home_value__moe,pct_renter__moe,pct_rent_burdened__moe,pct_no_vehicle__moe,pct_vacant__moe,pop_density__moe,total_pop__universe,median_age__universe,pct_white_nh__universe,pct_black_nh__universe,pct_asian_nh__universe,pct_hispanic__universe,pct_other_nh__universe,pct_under18__universe,pct_65plus__universe,pct_foreign_born__universe,median_hh_income__universe,pct_poverty__universe,pct_bachelors_plus__universe,pct_unemployed__universe,pct_snap__universe,pct_transit_commute__universe,median_gross_rent__universe,median_home_value__universe,pct_renter__universe,pct_rent_burdened__universe,pct_no_vehicle__universe,pct_vacant__universe,pop_density__universe,total_pop__share,median_age__share,pct_white_nh__share,pct_black_nh__share,pct_asian_nh__share,pct_hispanic__share,pct_other_nh__share,pct_under18__share,pct_65plus__share,pct_foreign_born__share,median_hh_income__share,pct_poverty__share,pct_bachelors_plus__share,pct_unemployed__share,pct_snap__share,pct_transit_commute__share,median_gross_rent__share,median_home_value__share,pct_renter__share,pct_rent_burdened__share,pct_no_vehicle__share,pct_vacant__share,pop_density__share,total_pop__share_moe,median_age__share_moe,pct_white_nh__share_moe,pct_black_nh__share_moe,pct_asian_nh__share_moe,pct_hispanic__share_moe,pct_other_nh__share_moe,pct_under18__share_moe,pct_65plus__share_moe,pct_foreign_born__share_moe,median_hh_income__share_moe,pct_poverty__share_moe,pct_bachelors_plus__share_moe,pct_unemployed__share_moe,pct_snap__share_moe,pct_transit_commute__share_moe,median_gross_rent__share_moe,median_home_value__share_moe,pct_renter__share_moe,pct_rent_burdened__share_moe,pct_no_vehicle__share_moe,pct_vacant__share_moe,pop_density__share_moe
3604204,146986,35.6,5586,48213,1592,87875,3720,36388,18786,56988,44672,45708,18005,8280,26247,36485,1430,278500,52292,30703,42937,1323,70855.1208175055,4609,1.1,1069,4414,502,4020,813.8476515908859,2650,1462.6742631221757,3366,3628,3716,1354.730600525433,1225,1593,2222,30,64791,1424,1744.844978787514,1938.2404391612513,366,NA,NA,NA,146986,146986,146986,146986,146986,146986,146986,146986,NA,144649,97146,68310,56787,57940,NA,NA,56787,49909,56787,58110,NA,NA,NA,3.800361939232308,32.80108309634931,1.0830963493121795,59.78460533656266,2.530853278543535,24.75609922033391,12.78080905664485,38.77103941872015,NA,31.599250599727615,18.533959195437795,12.121212121212121,46.22008558296793,62.97031411805316,NA,NA,92.08445594942505,61.51796269209962,75.61061510556993,2.2767165720185853,NA,NA,NA,0.7174508078411638,2.8213769829678306,0.3398362865425776,1.9913975427518562,0.5479738819182854,1.6272144589869058,0.9108426814632689,1.9406590704448827,NA,2.371817536909197,1.2703709785059414,1.7271739700959299,2.5712468278982423,2.5712925540443226,NA,NA,1.137982746765626,14.553370687401864,2.87808433885012,0.6274606658906958,NA
3604205,131607,34.1,2202,36359,922,88455,3669,35529,12738,57805,36633,46018,10787,7923,24762,31665,1456,548100,45185,27156,35892,718,92422.12502747164,4273,0.7,573,2848,338,4706,1014.428410485432,2186,1143.0538045079068,3084,2348,3692,1157.5962163034224,1049,1281,2141,37,144668,1157,1617.623565604804,1456.9958819433912,213,NA,NA,NA,131607,131607,131607,131607,131607,131607,131607,131607,NA,130164,84149,60521,47289,49531,NA,NA,47289,41976,47289,48007,NA,NA,NA,1.6731632815883655,27.626949934274013,0.700570638339906,67.21147051448631,2.7878456313114044,26.99628439216759,9.678816476327247,43.92243573670093,NA,35.35386128268953,12.818928329510749,13.09132367277474,52.36312884603185,63.92966021279603,NA,NA,95.55076233373512,64.69411092052601,75.8992577555034,1.4956152227800112,NA,NA,NA,0.43198482489704454,1.9693624304221558,0.25581599632099533,2.8327145335965627,0.7654681800605839,1.410910030303435,0.8096918161319349,1.859455160812338,NA,2.5922324682198723,1.303711991037192,1.6009336223374395,2.3926801011948635,2.5520460365976683,NA,NA,0.7841493726200801,18.07980865354779,2.4705801802906584,0.44230129588836525,NA
3604207,127686,35.7,7236,17742,6725,93446,2537,30393,15540,56566,44354,35804,17136,7138,20467,31670,1589,250900,46901,28372,35662,2615,77324.4363355087,4879,0.7,1111,1884,963,4479,616.781971202142,2105,1311.3912459674268,2596,2580,3104,1295.3184936532018,979,1184,1691,31,28189,1504,1698.2835452303011,1495.803797294284,437,NA,NA,NA,127686,127686,127686,127686,127686,127686,127686,127686,NA,125851,86021,61782,50347,52041,NA,NA,50347,44848,50347,52962,NA,NA,NA,5.667026925426437,13.895023730087871,5.266826433594913,73.18421753363721,1.9869053772535752,23.802922794981438,12.170480710492928,44.30086305468102,NA,28.44951569713391,19.920717034212576,11.553526917225081,40.65187598069399,60.855863645971446,NA,NA,93.1555008242795,63.2625758116304,70.83242298448765,4.937502360182773,NA,NA,NA,0.8427271413496029,1.37665723926321,0.7268471139436339,2.1177277910783148,0.47704219550500604,1.3749738310103246,0.9157248425768323,1.126078474244416,NA,2.214790088977572,1.317966729628975,1.5174872715854928,1.9650457754426538,1.7865614869237572,NA,NA,0.39952807082023895,16.604843720038893,1.9389957460596439,0.8123016868641336,NA
3604208,97765,42.4,33040,13029,4025,43675,3996,20619,21681,30558,80479,12937,31830,3784,7217,19767,1685,392100,24338,12328,18983,1815,18642.610067475227,3283,1.2,1582,1314,690,3195,768.3684012243085,1685,1254.1654595785997,2164,4683,2299,1547.869180518819,621,750,1326,42,22776,1053,1191.2304562929878,909.1760005631473,375,NA,NA,NA,97765,97765,97765,97765,97765,97765,97765,97765,NA,92890,69442,47173,40748,42014,NA,NA,40748,23095,40748,42563,NA,NA,NA,33.79532552549481,13.326855214033651,4.117015291771084,44.67345164424896,4.087352324451491,21.09036976423055,22.176648084692886,31.256584667314478,NA,13.927225750888148,45.83681345583364,8.021537744048503,17.711298714047317,47.04860284667016,NA,NA,59.7280848139786,53.37951937648842,46.58633552566997,4.264267086436576,NA,NA,NA,1.1534917439293202,1.2673456244906482,0.6921008041304342,2.903380135903909,0.7738560846188086,1.5712860787148015,1.0445511696841951,1.9487862339429296,NA,2.425862879107988,1.6520635703830298,1.2693449782123014,1.7533749697848902,2.3238908941231293,NA,NA,1.7645532685364582,26.98798265530118,1.6762881017156241,0.8712768789650951,NA
3604209,168884,36.2,3754,44778,17246,96086,7020,40329,25693,58678,48762,44929,23077,7633,21425,34097,1489,539400,48935,27382,37053,4450,41884.45806386253,4608,1,919,3140,1521,4031,1161.7667580026553,2440,1464.8481149934964,2551,2435,2956,1657.7267567364654,788,1066,1889,37,28093,1474,1607.086494249765,1649.6293523091786,647,NA,NA,NA,168884,168884,168884,168884,168884,168884,168884,168884,NA,167412,111760,74334,63394,65058,NA,NA,63394,45830,63394,67844,NA,NA,NA,2.2228275029013997,26.514056985860115,10.21174297150707,56.89467326685772,4.156699272873689,23.87970441249615,15.213400914236992,34.74455839511144,NA,26.837383222230187,20.648711524695777,10.268517771141067,33.79657380824684,52.41015709059609,NA,NA,77.1918478089409,59.746890682958764,58.4487490929741,6.559165143564648,NA,NA,NA,0.5407700374683528,1.712747555205552,0.8564343901439863,1.8130567347787192,0.6784942915119598,1.2895184748029567,0.7615928009418809,1.1759715418521364,NA,1.608225326048842,1.393825954988891,1.015707286087925,1.513616732634281,2.3054879629386535,NA,NA,1.6146736834519344,15.347629130207707,2.2730032282832884,0.9455824644726805,NA
3604210,127088,40.5,27873,30575,9816,54807,4017,26776,24986,33608,69626,17588,26341,4612,9615,20473,1642,496500,28623,14883,18254,2954,13018.286328450715,4131,0.9,1877,2795,1233,3339,873.2680001007709,1924,1553.2327578312272,2161,3385,1937,1575.5916349105182,825,960,1257,48,32092,1265,1180.6125528724485,1083.4781954428063,506,NA,NA,NA,127088,127088,127088,127088,127088,127088,127088,127088,NA,124253,89934,60484,50776,54398,NA,NA,50776,27423,50776,53730,NA,NA,NA,21.932047085484076,24.05813294724915,7.723781946367871,43.12523605690545,3.1608019639934533,21.06886566788367,19.660392798690673,26.444668261362207,NA,14.154990221564066,29.289256565926124,7.6251570663315915,18.936111548763193,37.635574837310195,NA,NA,56.37112021427446,54.2719614921781,35.9500551441626,5.49785966871394,NA,NA,NA,1.2934802432803683,2.055533889463812,0.9371468056960061,2.222108844703674,0.6794119641665046,1.3501543498934843,1.0417783602369917,1.467127237160425,NA,1.4853174974815753,1.5387225013873334,1.334524201888764,1.8423225881008995,1.7917889248902439,NA,NA,2.146570445172073,23.087613094380394,1.9755875156596059,0.934416635841843,NA
3604211,113929,38.5,22841,24992,10460,51446,4190,25616,18599,38015,64010,20992,21500,4828,11821,21016,1634,660300,30040,16734,19906,3098,31316.728932428156,3615,1.1,1933,2271,1119,2905,796.8845587661992,1978,1064.6219986455287,2122,3311,1950,1215.9243397514501,640,867,1220,36,17776,1061,1134.0886208758116,1030.6124392806444,533,NA,NA,NA,113929,113929,113929,113929,113929,113929,113929,113929,NA,110406,78232,54877,42901,48598,NA,NA,42901,28612,42901,45999,NA,NA,NA,20.048451228396633,21.93646920450456,9.181156685304005,45.156193769804,3.6777291119908013,22.484178742901282,16.32507965487277,33.367272599601506,NA,19.013459413437676,27.482360159525513,8.797857025712046,27.554136267219878,43.24457796617145,NA,NA,70.02167781636791,58.48594995106948,46.39985081932822,6.734929020196091,NA,NA,NA,1.572899707613304,1.8678717612638323,0.9379929210347758,2.1091897337715335,0.689653909354362,1.5828143441260256,0.7777491729336226,1.5323787406612177,NA,1.654402629579867,1.3245157358899018,1.102116192904252,1.89698284479611,1.7094720506894263,NA,NA,1.726355257850833,23.761018822522235,2.096184346329893,1.1491702592081767,NA
3604212,158428,37.9,9192,91033,3354,45505,9344,36336,25348,60356,67446,33522,29622,7854,16525,29074,1575,596500,34759,18648,24812,3644,29411.27896286718,4837,1,849,3754,695,3540,1418.0782771060278,2351,1410.5966822589653,3289,4655,3077,1745.256714641144,772,1026,1929,42,16379,1279,1265.2679558101518,1470.7566080082727,453,NA,NA,NA,158428,158428,158428,158428,158428,158428,158428,158428,NA,155800,108088,75631,57533,65911,NA,NA,57533,32682,57533,61177,NA,NA,NA,5.802004696139571,57.46017118186179,2.1170500164112402,28.72282677304517,5.897947332542228,22.935339712677052,15.999697023253466,38.096801070517834,NA,21.51604621309371,27.40544741321886,10.384630640874773,28.72264613352337,44.11099816419111,NA,NA,60.415761389115815,57.05893152193868,43.126553456277264,5.956486915017082,NA,NA,NA,0.5057655926958332,1.5927978259786135,0.43389719110611985,2.055177262979867,0.8767930818520133,1.3083503039113453,0.7444041006155373,1.7195837228603312,NA,1.8617725868525794,1.4125537773927686,0.9549412346302146,1.6184744289747144,2.3650109751977912,NA,NA,1.5687326339287564,20.381139325078777,2.2958147226220005,0.7269478435064961,NA
3604221,154955,33.9,3411,38102,1136,107792,4514,42209,19545,40314,31872,58418,14552,9724,31253,28957,1156,477700,53408,31436,44021,1786,31355.93787200728,4708,0.8,951,2664,372,4567,960.4488534013667,2903,1397.6201200612418,2282,2040,3932,1295.7754435086351,935,1478,1686,37,186319,1398,1804.2544166497141,1595.295583896602,348,NA,NA,NA,154955,154955,154955,154955,154955,154955,154955,154955,NA,150830,97422,61442,57981,49666,NA,NA,57981,51018,57981,59767,NA,NA,NA,2.20128424381272,24.589074247362138,0.733116065954632,69.56342163854022,2.9131038043302895,27.23952115130199,12.613339356587396,26.016585460294923,NA,38.73102168003713,14.937077867422143,15.826307737378341,53.90214035632362,58.303467160633026,NA,NA,92.11293354719649,61.61746834450586,75.92314723788827,2.988271119514113,NA,NA,NA,0.6100714239410786,1.5483976051245303,0.23903413220744413,2.054152295306169,0.6134724357323482,1.6807294040461056,0.8164873952727019,1.2425668178026408,NA,2.303141708144833,1.2623832224712557,1.3811905028929987,2.3259348403149875,2.108978261638259,NA,NA,1.6236656349417937,14.287096597316756,2.3263080678704817,0.5798440765919373,NA
3604263,177451,32,7228,57975,1391,104741,6116,47297,20298,52465,33377,66531,15504,11000,36943,33086,1229,561000,62444,35327,48700,2912,40054.27755178546,5159,0.6,936,3803,509,4495,1506.3747873620296,2609,1487.8723063489017,3548,2422,4259,1354.5397742406828,950,1806,1965,42,63553,1667,1925.018441470107,1869.553155168368,500,NA,NA,NA,177451,177451,177451,177451,177451,177451,177451,177451,NA,172712,108437,73887,66344,60730,NA,NA,66344,58912,66344,69256,NA,NA,NA,4.073237118979324,32.67099086508388,0.7838783664222799,59.025308394993544,3.4465852545209663,26.65355506590552,11.438650669762357,29.565908335258747,NA,38.521353467043404,14.29770281361528,14.887598630340927,55.68401061135898,54.480487403260334,NA,NA,94.12154829374171,59.96571156979902,73.40528156276378,4.204689846367102,NA,NA,NA,0.5140045957111675,1.9211457670968637,0.28593299395794386,1.8632761812567626,0.8429616377598746,1.2494874008192185,0.7697005252731589,1.805228668603042,NA,2.1780879251891085,1.1931416013309464,1.1661069515927884,2.3244318240051536,2.30961084047634,NA,NA,0.7606890601333604,12.115263445415394,2.1101633131433344,0.7159268573254748,NA
