GEOID,total_pop__estimate,median_age__estimate,pct_white_nh__estimate,pct_black_nh__estimate,pct_asian_nh__estimate,pct_hispanic__estimate,pct_other_nh__estimate,pct_under18__estimate,pct_65plus__estimate,pct_foreign_born__estimate,median_hh_income__estimate,pct_poverty__estimate,pct_bachelors_plus__estimate,pct_unemployed__estimate,pct_snap__estimate,pct_transit_commute__estimate,median_gross_rent__estimate,median_home_value__estimate,pct_renter__estimate,pct_rent_burdened__estimate,pct_no_vehicle__estimate,pct_vacant__estimate,pop_density__estimate,total_pop__moe,median_age__moe,pct_white_nh__moe,pct_black_nh__moe,pct_asian_nh__moe,pct_hispanic__moe,pct_other_nh__moe,pct_under18__moe,pct_65plus__moe,pct_foreign_born__moe,median_hh_income__moe,pct_poverty__moe,pct_bachelors_plus__moe,pct_unemployed__moe,pct_snap__moe,pct_transit_commute__moe,median_gross_rent__moe,median_home_value__moe,pct_renter__moe,pct_rent_burdened__moe,pct_no_vehicle__moe,pct_vacant__moe,pop_density__moe,total_pop__universe,median_age__universe,pct_white_nh__universe,pct_black_nh__universe,pct_asian_nh__universe,pct_hispanic__universe,pct_other_nh__universe,pct_under18__universe,pct_65plus__universe,pct_foreign_born__universe,median_hh_income__universe,pct_poverty__universe,pct_bachelors_plus__universe,pct_unemployed__universe,pct_snap__universe,pct_transit_commute__universe,median_gross_rent__universe,median_home_value__universe,pct_renter__universe,pct_rent_burdened__universe,pct_no_vehicle__universe,pct_vacant__universe,pop_density__universe,total_pop__share,median_age__share,pct_white_nh__share,pct_black_nh__share,pct_asian_nh__share,pct_hispanic__share,pct_other_nh__share,pct_under18__share,pct_65plus__share,pct_foreign_born__share,median_hh_income__share,pct_poverty__share,pct_bachelors_plus__share,pct_unemployed__share,pct_snap__share,pct_transit_commute__share,median_gross_rent__share,median_home_value__share,pct_renter__share,pct_rent_burdened__share,pct_no_vehicle__share,pct_vacant__share,pop_density__share,total_pop__share_moe,median_age__share_moe,pct_white_nh__share_moe,pct_black_nh__share_moe,pct_asian_nh__share_moe,pct_hispanic__share_moe,pct_other_nh__share_moe,pct_under18__share_moe,pct_65plus__share_moe,pct_foreign_born__share_moe,median_hh_income__share_moe,pct_poverty__share_moe,pct_bachelors_plus__share_moe,pct_unemployed__share_moe,pct_snap__share_moe,pct_transit_commute__share_moe,median_gross_rent__share_moe,median_home_value__share_moe,pct_renter__share_moe,pct_rent_burdened__share_moe,pct_no_vehicle__share_moe,pct_vacant__share_moe,pop_density__share_moe
36005,1404779,36,122363,402798,56667,773828,49123,341492,203214,485353,48676,382447,208354,72776,206275,286290,1458,529500,426925,242969,326220,25315,32987.658983285764,NA,0.2,972,2601,1063,0,3361.5892075029037,28,3678.3792626644686,7476,895,8488,4223.962239414553,2716,4000,4990,16,11185,3463,4360.011353196228,4639.984913768578,1376,NA,NA,NA,1404779,1404779,1404779,1404779,1404779,1404779,1404779,1404779,NA,1374967,930631,638441,534100,545887,NA,NA,534100,404305,534100,559415,NA,NA,NA,8.710480438560086,28.673406991420002,4.033872943715702,55.085390655754395,3.496848970549816,24.309304168128936,14.465905313220087,34.55013208483327,NA,27.814994832603254,22.388465460531616,11.399017293688845,38.6210447481745,52.444919919323965,NA,NA,79.93353304624603,60.09547247746132,61.07844972851526,4.525262997953219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6159252842917547,0.453866214290492,0.41792932027624496,0.7409742957832628,0.8059775629266642,NA,NA,0.6080006240995935,1.7595159139691083,0.8515294508597538,0.24591554965476192,NA
36047,2631580,36.5,949210,700850,317730,498746,165044,584474,406596,928478,80263,498422,777516,107125,231177,562023,1833,905000,712011,344970,569113,90845,37924.866009660924,NA,0.1,2091,4306,2663,0,5480.391683082515,0,4371.38479203101,8422,946,11014,6721.7370522804595,3189,3444,5297,9,7741,4241,5333.576098641511,5117.49049828136,2398,NA,NA,NA,2631580,2631580,2631580,2631580,2631580,2631580,2631580,2631580,NA,2604790,1846499,1353361,1009927,1208610,NA,NA,1009927,678822,1009927,1100772,NA,NA,NA,36.06996557201377,26.63228934708426,12.073735170505932,18.952340419063834,6.2716694913322035,22.210003115998752,15.450641819743272,35.282149887140044,NA,19.134824688362592,42.107577637464196,7.915478575191689,22.8904663406365,46.50160101273364,NA,NA,70.50123424762384,50.81891865614255,56.351894740907014,8.2528443674076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4227796414686811,0.36399362565883037,0.2332519250548624,0.3368722609060167,0.3788972337967904,NA,NA,0.38691637090201314,0.3563742939667158,0.489637933663917,0.21782292122637723,NA
36061,1629477,38.9,742076,203638,201699,398102,83962,226180,295693,460024,103931,260843,809902,71989,112139,376566,2197,1090500,583299,267547,607348,145191,71355.5966497193,NA,0.2,2251,2471,2127,0,4321.91011012492,103,5052.391710863282,7039,1490,7811,8860.409414919832,3158,2554,5976,25,28044,5189,5686.377933271759,6535.559654689107,4821,NA,NA,NA,1629477,1629477,1629477,1629477,1629477,1629477,1629477,1629477,NA,1578522,1261727,949329,778281,860693,NA,NA,778281,557393,778281,923472,NA,NA,NA,45.54074712315669,12.497138652463336,12.37814341656863,24.43127457460277,5.1526962332085695,13.880527310296493,18.14649731171413,28.231389580828694,NA,16.524508369221333,64.1899555133559,7.583145569133567,14.408549097305471,43.751488626025775,NA,NA,74.94709494385704,47.99970577312596,78.03710998983658,15.722295857373044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4946788886998775,0.7021894192980261,0.329876747941798,0.31524331774549347,0.6381090237518615,NA,NA,0.4687042092945097,0.6260626871420558,0.6792690327847459,0.5218986953795515,NA
36081,2323052,40.7,538469,379738,601394,652505,150946,453675,413538,1104903,86136,296381,613725,87810,133891,451707,1956,723800,463708,232298,314790,69203,21293.660015998368,NA,0.1,2064,3133,3838,0,5577.07432261755,0,4591.49735925003,7764,875,8517,6722.424413855466,2868,3421,6007,10,6606,3917,4364.714194537828,4150.048192491263,2215,NA,NA,NA,2323052,2323052,2323052,2323052,2323052,2323052,2323052,2323052,NA,2296816,1698409,1211336,841003,1090454,NA,NA,841003,439214,841003,910206,NA,NA,NA,23.179377818490504,16.3465131215315,25.888098931922315,28.088264920458087,6.497745207597592,19.529265810666313,17.801495618694716,47.562559942696076,NA,12.903994050894804,36.135288967498404,7.249020915749222,15.920395052098506,41.42375561004866,NA,NA,55.137496536873236,52.88947984353869,37.43030643172498,7.60300415510335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3707474050688062,0.3957645391534265,0.23501224228993262,0.40460539955351654,0.5109170126104136,NA,NA,0.4424924684154156,1.5020666790736827,0.4834984985740235,0.24333763875685022,NA
36085,494956,40.6,274945,43634,62780,96941,16656,106789,85255,127461,98333,56286,124064,13361,22803,51528,1733,675500,55089,28658,27235,13844,8498.649969638776,NA,0.2,845,883,1000,0,1599.2051150493485,141,1973.8497916508236,3424,2070,3151,3235.3304313470053,878,1172,1941,38,5531,1872,1586.0986728447888,1294.4844533635776,972,NA,NA,NA,494956,494956,494956,494956,494956,494956,494956,494956,NA,490009,347481,239830,170777,221153,NA,NA,170777,50477,170777,184621,NA,NA,NA,55.54938216730376,8.815733115670888,12.68395574556122,19.585781362383727,3.365147609080403,21.57545317159505,17.224763413313507,25.751986035122314,NA,11.486727794795605,35.703822655051646,5.5710294792144435,13.352500629475866,23.299706538007623,NA,NA,32.257856737148444,56.77437248647899,15.947697875006588,7.498605250756956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6430142179800148,0.931064097403605,0.36147595540837196,0.6817436740485827,0.8396962605715721,NA,NA,1.079537140445638,10.97975052079981,0.7521412421817057,0.5264625392285752,NA
